RUA	NÚMERO	REGIÃO	COMPLEMENTO
16	7	Cemitério São João Batista	Novo
16	8	Cemitério São João Batista	Novo
16	9	Cemitério São João Batista	Novo
16	10	Cemitério São João Batista	Novo
16	11	Cemitério São João Batista	Novo
16	12	Cemitério São João Batista	Novo
16	13	Cemitério São João Batista	Novo
16	14	Cemitério São João Batista	Novo
16	15	Cemitério São João Batista	Novo
16	16	Cemitério São João Batista	Novo
16	17	Cemitério São João Batista	Novo
16	18	Cemitério São João Batista	Novo
16	19	Cemitério São João Batista	Novo
16	20	Cemitério São João Batista	Novo
16	21	Cemitério São João Batista	Novo
16	22	Cemitério São João Batista	Novo
16	23	Cemitério São João Batista	Novo
16	24	Cemitério São João Batista	Novo
16	25	Cemitério São João Batista	Novo
16	26	Cemitério São João Batista	Novo
16	27	Cemitério São João Batista	Novo
16	28	Cemitério São João Batista	Novo
16	29	Cemitério São João Batista	Novo
16	30	Cemitério São João Batista	Novo
16	31	Cemitério São João Batista	Novo
16	32	Cemitério São João Batista	Novo
16	33	Cemitério São João Batista	Novo
16	34	Cemitério São João Batista	Novo
16	35	Cemitério São João Batista	Novo
16	36	Cemitério São João Batista	Novo
16	37	Cemitério São João Batista	Novo
16	38	Cemitério São João Batista	Novo
16	39	Cemitério São João Batista	Novo
16	40	Cemitério São João Batista	Novo
17	1	Cemitério São João Batista	Novo
17	2	Cemitério São João Batista	Novo
17	3	Cemitério São João Batista	Novo
17	4	Cemitério São João Batista	Novo
17	5	Cemitério São João Batista	Novo
17	6	Cemitério São João Batista	Novo
17	7	Cemitério São João Batista	Novo
17	8	Cemitério São João Batista	Novo
17	9	Cemitério São João Batista	Novo
17	10	Cemitério São João Batista	Novo
17	11	Cemitério São João Batista	Novo
17	12	Cemitério São João Batista	Novo
17	13	Cemitério São João Batista	Novo
17	14	Cemitério São João Batista	Novo
17	15	Cemitério São João Batista	Novo
17	16	Cemitério São João Batista	Novo
17	17	Cemitério São João Batista	Novo
17	18	Cemitério São João Batista	Novo
